Town,Room Type,Block,Street,Probable Completion Date,Delivery Possession Date,Lease Commencement Date,Ethic Quota-Malay,Ethic Quota-Chinese,Ethic Quota-Indian Others,Unit,Price,Sqm,IsBooked
Sengkang,4-Room,171B ,SENGKANG EAST DR ,2Q/2022 ,31 May 2023  ,-  ,4,5,5,#02-96,"$299,500",93,False
Sengkang,4-Room,171B ,SENGKANG EAST DR ,2Q/2022 ,31 May 2023  ,-  ,4,5,5,#09-96,,,True
Sengkang,4-Room,172B ,SENGKANG EAST DR ,2Q/2022 ,30 Apr 2023  ,-  ,13,16,4,#03-128,"$288,900",93,False
Sengkang,4-Room,172B ,SENGKANG EAST DR ,2Q/2022 ,30 Apr 2023  ,-  ,13,16,4,#04-128,"$293,400",93,False
Sengkang,4-Room,172B ,SENGKANG EAST DR ,2Q/2022 ,30 Apr 2023  ,-  ,13,16,4,#06-128,"$301,400",93,False
Sengkang,4-Room,172B ,SENGKANG EAST DR ,2Q/2022 ,30 Apr 2023  ,-  ,13,16,4,#07-128,"$304,900",93,False
Sengkang,4-Room,172B ,SENGKANG EAST DR ,2Q/2022 ,30 Apr 2023  ,-  ,13,16,4,#09-128,"$309,800",93,False
Sengkang,4-Room,172B ,SENGKANG EAST DR ,2Q/2022 ,30 Apr 2023  ,-  ,13,16,4,#10-128,"$311,200",93,False
Sengkang,4-Room,172D ,SENGKANG EAST DR ,3Q/2022 ,30 Sep 2023  ,-  ,19,18,11,#03-174,"$278,800",93,False
Sengkang,4-Room,172D ,SENGKANG EAST DR ,3Q/2022 ,30 Sep 2023  ,-  ,19,18,11,#04-174,"$283,300",93,False
Sengkang,4-Room,172D ,SENGKANG EAST DR ,3Q/2022 ,30 Sep 2023  ,-  ,19,18,11,#05-174,"$287,800",93,False
Sengkang,4-Room,172D ,SENGKANG EAST DR ,3Q/2022 ,30 Sep 2023  ,-  ,19,18,11,#06-174,"$291,300",93,False
Sengkang,4-Room,172D ,SENGKANG EAST DR ,3Q/2022 ,30 Sep 2023  ,-  ,19,18,11,#07-174,"$294,800",93,False
Sengkang,4-Room,172D ,SENGKANG EAST DR ,3Q/2022 ,30 Sep 2023  ,-  ,19,18,11,#08-174,"$298,300",93,False
Sengkang,4-Room,173A ,SENGKANG EAST DR ,3Q/2022 ,30 Sep 2023  ,-  ,11,27,9,#03-198,"$288,900",93,False
Sengkang,4-Room,173A ,SENGKANG EAST DR ,3Q/2022 ,30 Sep 2023  ,-  ,11,27,9,#04-198,"$293,400",93,False
Sengkang,4-Room,173A ,SENGKANG EAST DR ,3Q/2022 ,30 Sep 2023  ,-  ,11,27,9,#05-198,"$297,900",93,False
Sengkang,4-Room,173A ,SENGKANG EAST DR ,3Q/2022 ,30 Sep 2023  ,-  ,11,27,9,#06-198,"$301,400",93,False
Sengkang,4-Room,173A ,SENGKANG EAST DR ,3Q/2022 ,30 Sep 2023  ,-  ,11,27,9,#03-200,"$288,900",93,False
Sengkang,4-Room,173A ,SENGKANG EAST DR ,3Q/2022 ,30 Sep 2023  ,-  ,11,27,9,#04-200,"$293,400",93,False
Sengkang,4-Room,173C ,SENGKANG EAST DR ,3Q/2022 ,31 Jul 2023  ,-  ,8,28,5,#03-232,"$288,900",93,False
Sengkang,4-Room,173C ,SENGKANG EAST DR ,3Q/2022 ,31 Jul 2023  ,-  ,8,28,5,#04-232,"$293,400",93,False
Sengkang,4-Room,173C ,SENGKANG EAST DR ,3Q/2022 ,31 Jul 2023  ,-  ,8,28,5,#05-232,"$297,900",93,False
Sengkang,4-Room,173C ,SENGKANG EAST DR ,3Q/2022 ,31 Jul 2023  ,-  ,8,28,5,#06-232,"$301,400",93,False
Sengkang,4-Room,173C ,SENGKANG EAST DR ,3Q/2022 ,31 Jul 2023  ,-  ,8,28,5,#07-232,"$304,900",93,False
Sengkang,4-Room,173C ,SENGKANG EAST DR ,3Q/2022 ,31 Jul 2023  ,-  ,8,28,5,#08-232,"$308,400",93,False
Sengkang,4-Room,174A ,SENGKANG EAST DR ,3Q/2022 ,31 Aug 2023  ,-  ,12,36,4,#03-278,"$278,800",93,False
Sengkang,4-Room,174A ,SENGKANG EAST DR ,3Q/2022 ,31 Aug 2023  ,-  ,12,36,4,#04-278,"$283,300",93,False
Sengkang,4-Room,174A ,SENGKANG EAST DR ,3Q/2022 ,31 Aug 2023  ,-  ,12,36,4,#05-278,"$287,800",93,False
Sengkang,4-Room,174A ,SENGKANG EAST DR ,3Q/2022 ,31 Aug 2023  ,-  ,12,36,4,#06-278,"$291,300",93,False
Sengkang,4-Room,174A ,SENGKANG EAST DR ,3Q/2022 ,31 Aug 2023  ,-  ,12,36,4,#07-278,"$294,800",93,False
Sengkang,4-Room,174A ,SENGKANG EAST DR ,3Q/2022 ,31 Aug 2023  ,-  ,12,36,4,#09-278,"$299,700",93,False
Sengkang,4-Room,174B ,SENGKANG EAST DR ,3Q/2022 ,31 Aug 2023  ,-  ,6,11,5,#03-296,"$289,500",93,False
Sengkang,4-Room,174B ,SENGKANG EAST DR ,3Q/2022 ,31 Aug 2023  ,-  ,6,11,5,#04-296,"$294,000",93,False
Sengkang,4-Room,174B ,SENGKANG EAST DR ,3Q/2022 ,31 Aug 2023  ,-  ,6,11,5,#05-296,"$298,500",93,False
Sengkang,4-Room,174B ,SENGKANG EAST DR ,3Q/2022 ,31 Aug 2023  ,-  ,6,11,5,#06-296,"$302,000",93,False
Sengkang,4-Room,174B ,SENGKANG EAST DR ,3Q/2022 ,31 Aug 2023  ,-  ,6,11,5,#10-296,"$313,700",93,False
Sengkang,4-Room,174B ,SENGKANG EAST DR ,3Q/2022 ,31 Aug 2023  ,-  ,6,11,5,#02-298,"$279,400",93,False
Sengkang,4-Room,175A ,SENGKANG EAST DR ,2Q/2022 ,30 Jun 2023  ,-  ,7,7,5,#02-320,"$299,500",93,False
Sengkang,4-Room,175A ,SENGKANG EAST DR ,2Q/2022 ,30 Jun 2023  ,-  ,7,7,5,#06-320,"$316,500",93,False
Sengkang,4-Room,175A ,SENGKANG EAST DR ,2Q/2022 ,30 Jun 2023  ,-  ,7,7,5,#15-320,,,True
Sengkang,4-Room,175A ,SENGKANG EAST DR ,2Q/2022 ,30 Jun 2023  ,-  ,7,7,5,#02-322,"$299,500",93,False
Sengkang,4-Room,175A ,SENGKANG EAST DR ,2Q/2022 ,30 Jun 2023  ,-  ,7,7,5,#03-322,"$304,000",93,False
Sengkang,4-Room,175A ,SENGKANG EAST DR ,2Q/2022 ,30 Jun 2023  ,-  ,7,7,5,#08-322,,,True
Sengkang,4-Room,175B ,SENGKANG EAST DR ,2Q/2022 ,30 Jun 2023  ,-  ,6,7,5,#02-332,"$280,000",93,False
Sengkang,4-Room,175B ,SENGKANG EAST DR ,2Q/2022 ,30 Jun 2023  ,-  ,6,7,5,#03-332,"$289,500",93,False
Sengkang,4-Room,175B ,SENGKANG EAST DR ,2Q/2022 ,30 Jun 2023  ,-  ,6,7,5,#04-332,"$294,000",93,False
Sengkang,4-Room,175B ,SENGKANG EAST DR ,2Q/2022 ,30 Jun 2023  ,-  ,6,7,5,#02-334,"$279,400",93,False
Sengkang,4-Room,175B ,SENGKANG EAST DR ,2Q/2022 ,30 Jun 2023  ,-  ,6,7,5,#06-334,"$303,900",93,False
Sengkang,4-Room,175B ,SENGKANG EAST DR ,2Q/2022 ,30 Jun 2023  ,-  ,6,7,5,#02-340,"$299,500",93,False
Sengkang,4-Room,400B ,FERNVALE LANE ,1Q/2022 ,31 Mar 2023  ,-  ,1,1,1,#05-236,,,True
Sengkang,4-Room,400B ,FERNVALE LANE ,1Q/2022 ,31 Mar 2023  ,-  ,1,1,1,#06-236,"$316,800",93,False
Sengkang,4-Room,400C ,FERNVALE LANE ,1Q/2022 ,28 Feb 2023  ,-  ,1,1,1,#03-256,"$293,600",93,False
Sengkang,4-Room,400E ,FERNVALE LANE ,1Q/2022 ,31 Mar 2023  ,-  ,1,1,1,#13-266,"$324,000",93,False
Sengkang,4-Room,401D ,FERNVALE LANE ,1Q/2022 ,31 Mar 2023  ,-  ,1,1,1,#06-316,"$316,800",93,False
Sengkang,4-Room,440A ,FERNVALE LINK ,- ,NA (Keys Available) ,01 Jul 2015  ,1,1,1,#08-177*,"$324,000",92,False
Sengkang,4-Room,460B ,SENGKANG WEST WAY ,2Q/2021 ,30 Apr 2022  ,-  ,1,0,1,#14-95,,,True
Sengkang,4-Room,460B ,SENGKANG WEST WAY ,2Q/2021 ,30 Apr 2022  ,-  ,1,0,1,#14-105,"$320,600",93,False
Sengkang,4-Room,460C ,SENGKANG WEST WAY ,2Q/2021 ,30 Apr 2022  ,-  ,1,1,1,#09-59,"$325,200",93,False
Sengkang,4-Room,461A ,SENGKANG WEST WAY ,2Q/2021 ,31 May 2022  ,-  ,1,0,0,#06-107,,,True
Sengkang,4-Room,461A ,SENGKANG WEST WAY ,2Q/2021 ,31 May 2022  ,-  ,1,0,0,#11-107,,,True
Sengkang,4-Room,461A ,SENGKANG WEST WAY ,2Q/2021 ,31 May 2022  ,-  ,1,0,0,#04-117,"$306,200",93,False
Sengkang,4-Room,461B ,SENGKANG WEST WAY ,2Q/2021 ,30 Jun 2022  ,-  ,0,1,0,#09-137,"$315,000",93,False
Sengkang,5-Room,170A ,SENGKANG EAST DR ,2Q/2022 ,30 Jun 2023  ,-  ,7,18,8,#11-28,,,True
Sengkang,5-Room,170A ,SENGKANG EAST DR ,2Q/2022 ,30 Jun 2023  ,-  ,7,18,8,#02-38,"$362,300",113,False
Sengkang,5-Room,170A ,SENGKANG EAST DR ,2Q/2022 ,30 Jun 2023  ,-  ,7,18,8,#03-38,"$368,300",113,False
Sengkang,5-Room,170A ,SENGKANG EAST DR ,2Q/2022 ,30 Jun 2023  ,-  ,7,18,8,#02-40,"$344,800",113,False
Sengkang,5-Room,170A ,SENGKANG EAST DR ,2Q/2022 ,30 Jun 2023  ,-  ,7,18,8,#05-40,"$362,800",113,False
Sengkang,5-Room,170A ,SENGKANG EAST DR ,2Q/2022 ,30 Jun 2023  ,-  ,7,18,8,#06-40,"$372,900",113,False
Sengkang,5-Room,171A ,SENGKANG EAST DR ,2Q/2022 ,31 May 2023  ,-  ,9,9,6,#09-66,,,True
Sengkang,5-Room,171A ,SENGKANG EAST DR ,2Q/2022 ,31 May 2023  ,-  ,9,9,6,#06-68,,,True
Sengkang,5-Room,171A ,SENGKANG EAST DR ,2Q/2022 ,31 May 2023  ,-  ,9,9,6,#09-68,,,True
Sengkang,5-Room,171A ,SENGKANG EAST DR ,2Q/2022 ,31 May 2023  ,-  ,9,9,6,#03-70,"$356,100",113,False
Sengkang,5-Room,171A ,SENGKANG EAST DR ,2Q/2022 ,31 May 2023  ,-  ,9,9,6,#04-70,"$362,100",113,False
Sengkang,5-Room,171A ,SENGKANG EAST DR ,2Q/2022 ,31 May 2023  ,-  ,9,9,6,#05-70,"$368,100",113,False
Sengkang,5-Room,171B ,SENGKANG EAST DR ,2Q/2022 ,31 May 2023  ,-  ,14,16,6,#02-86,"$344,100",113,False
Sengkang,5-Room,171B ,SENGKANG EAST DR ,2Q/2022 ,31 May 2023  ,-  ,14,16,6,#03-86,"$356,100",113,False
Sengkang,5-Room,171B ,SENGKANG EAST DR ,2Q/2022 ,31 May 2023  ,-  ,14,16,6,#04-86,"$362,100",113,False
Sengkang,5-Room,171B ,SENGKANG EAST DR ,2Q/2022 ,31 May 2023  ,-  ,14,16,6,#05-86,"$368,100",113,False
Sengkang,5-Room,171B ,SENGKANG EAST DR ,2Q/2022 ,31 May 2023  ,-  ,14,16,6,#06-86,,,True
Sengkang,5-Room,171B ,SENGKANG EAST DR ,2Q/2022 ,31 May 2023  ,-  ,14,16,6,#02-88,"$344,100",113,False
Sengkang,5-Room,172B ,SENGKANG EAST DR ,2Q/2022 ,30 Apr 2023  ,-  ,3,2,3,#03-132,"$356,100",113,False
Sengkang,5-Room,172B ,SENGKANG EAST DR ,2Q/2022 ,30 Apr 2023  ,-  ,3,2,3,#03-134,"$356,100",113,False
Sengkang,5-Room,172B ,SENGKANG EAST DR ,2Q/2022 ,30 Apr 2023  ,-  ,3,2,3,#04-134,,,True
Sengkang,5-Room,172B ,SENGKANG EAST DR ,2Q/2022 ,30 Apr 2023  ,-  ,3,2,3,#08-134,"$387,900",113,False
Sengkang,5-Room,173C ,SENGKANG EAST DR ,3Q/2022 ,31 Jul 2023  ,-  ,7,7,1,#03-228,"$356,100",113,False
Sengkang,5-Room,173C ,SENGKANG EAST DR ,3Q/2022 ,31 Jul 2023  ,-  ,7,7,1,#04-228,"$362,100",113,False
Sengkang,5-Room,173C ,SENGKANG EAST DR ,3Q/2022 ,31 Jul 2023  ,-  ,7,7,1,#05-228,"$368,100",113,False
Sengkang,5-Room,173C ,SENGKANG EAST DR ,3Q/2022 ,31 Jul 2023  ,-  ,7,7,1,#06-228,,,True
Sengkang,5-Room,173C ,SENGKANG EAST DR ,3Q/2022 ,31 Jul 2023  ,-  ,7,7,1,#18-228,,,True
Sengkang,5-Room,173C ,SENGKANG EAST DR ,3Q/2022 ,31 Jul 2023  ,-  ,7,7,1,#03-230,"$356,100",113,False
Sengkang,5-Room,174B ,SENGKANG EAST DR ,3Q/2022 ,31 Aug 2023  ,-  ,13,13,9,#03-300,,,True
Sengkang,5-Room,174B ,SENGKANG EAST DR ,3Q/2022 ,31 Aug 2023  ,-  ,13,13,9,#04-308,"$386,700",113,False
Sengkang,5-Room,174B ,SENGKANG EAST DR ,3Q/2022 ,31 Aug 2023  ,-  ,13,13,9,#08-308,,,True
Sengkang,5-Room,174B ,SENGKANG EAST DR ,3Q/2022 ,31 Aug 2023  ,-  ,13,13,9,#02-312,"$344,100",113,False
Sengkang,5-Room,174B ,SENGKANG EAST DR ,3Q/2022 ,31 Aug 2023  ,-  ,13,13,9,#03-312,"$356,100",113,False
Sengkang,5-Room,174B ,SENGKANG EAST DR ,3Q/2022 ,31 Aug 2023  ,-  ,13,13,9,#04-312,"$362,100",113,False
Sengkang,5-Room,175A ,SENGKANG EAST DR ,2Q/2022 ,30 Jun 2023  ,-  ,12,21,7,#02-316,"$344,100",113,False
Sengkang,5-Room,175A ,SENGKANG EAST DR ,2Q/2022 ,30 Jun 2023  ,-  ,12,21,7,#03-316,"$350,100",113,False
Sengkang,5-Room,175A ,SENGKANG EAST DR ,2Q/2022 ,30 Jun 2023  ,-  ,12,21,7,#04-316,"$362,100",113,False
Sengkang,5-Room,175A ,SENGKANG EAST DR ,2Q/2022 ,30 Jun 2023  ,-  ,12,21,7,#05-316,"$368,100",113,False
Sengkang,5-Room,175A ,SENGKANG EAST DR ,2Q/2022 ,30 Jun 2023  ,-  ,12,21,7,#06-316,"$372,600",113,False
Sengkang,5-Room,175A ,SENGKANG EAST DR ,2Q/2022 ,30 Jun 2023  ,-  ,12,21,7,#07-316,"$377,100",113,False
Sengkang,5-Room,175B ,SENGKANG EAST DR ,2Q/2022 ,30 Jun 2023  ,-  ,4,4,4,#08-336,,,True
Sengkang,5-Room,175B ,SENGKANG EAST DR ,2Q/2022 ,30 Jun 2023  ,-  ,4,4,4,#08-344,,,True
Sengkang,5-Room,175B ,SENGKANG EAST DR ,2Q/2022 ,30 Jun 2023  ,-  ,4,4,4,#09-344,,,True
Sengkang,5-Room,175B ,SENGKANG EAST DR ,2Q/2022 ,30 Jun 2023  ,-  ,4,4,4,#11-344,,,True
Sengkang,5-Room,175B ,SENGKANG EAST DR ,2Q/2022 ,30 Jun 2023  ,-  ,4,4,4,#12-344,,,True
Sengkang,5-Room,175B ,SENGKANG EAST DR ,2Q/2022 ,30 Jun 2023  ,-  ,4,4,4,#15-346,,,True
Sengkang,5-Room,184B ,RIVERVALE CRES ,- ,NA (Keys Available) ,01 Jun 2003  ,1,1,1,#12-175*,"$328,000",110,False
Sengkang,5-Room,401E ,FERNVALE LANE ,2Q/2022 ,30 Apr 2023  ,-  ,1,1,1,#09-330,"$420,200",113,False
Sengkang,5-Room,401E ,FERNVALE LANE ,2Q/2022 ,30 Apr 2023  ,-  ,1,1,1,#16-330,,,True
Tampines,3-ROOM,629A ,TAMPINES NTH DR 2 ,1Q/2022 ,31 Jan 2023  ,-  ,0,1,1,#03-41,,,True
Tampines,3-ROOM,629A ,TAMPINES NTH DR 2 ,1Q/2022 ,31 Jan 2023  ,-  ,0,1,1,#04-41,"$238,400",68,False
Tampines,3-ROOM,629A ,TAMPINES NTH DR 2 ,1Q/2022 ,31 Jan 2023  ,-  ,0,1,1,#06-41,,,True
Tampines,3-ROOM,629A ,TAMPINES NTH DR 2 ,1Q/2022 ,31 Jan 2023  ,-  ,0,1,1,#07-41,,,True
Tampines,3-ROOM,629A ,TAMPINES NTH DR 2 ,1Q/2022 ,31 Jan 2023  ,-  ,0,1,1,#09-41,,,True
Tampines,3-ROOM,629A ,TAMPINES NTH DR 2 ,1Q/2022 ,31 Jan 2023  ,-  ,0,1,1,#12-41,,,True
Tampines,3-ROOM,630A ,TAMPINES NTH DR 2 ,1Q/2022 ,28 Feb 2023  ,-  ,0,10,2,#03-83,,,True
Tampines,3-ROOM,630A ,TAMPINES NTH DR 2 ,1Q/2022 ,28 Feb 2023  ,-  ,0,10,2,#04-83,,,True
Tampines,3-ROOM,630A ,TAMPINES NTH DR 2 ,1Q/2022 ,28 Feb 2023  ,-  ,0,10,2,#05-83,"$245,300",68,False
Tampines,3-ROOM,630A ,TAMPINES NTH DR 2 ,1Q/2022 ,28 Feb 2023  ,-  ,0,10,2,#06-83,"$247,800",68,False
Tampines,3-ROOM,630A ,TAMPINES NTH DR 2 ,1Q/2022 ,28 Feb 2023  ,-  ,0,10,2,#09-83,"$253,800",68,False
Tampines,3-ROOM,630A ,TAMPINES NTH DR 2 ,1Q/2022 ,28 Feb 2023  ,-  ,0,10,2,#10-83,"$254,800",68,False
Tampines,3-ROOM,630B ,TAMPINES NTH DR 2 ,1Q/2022 ,28 Feb 2023  ,-  ,0,1,1,#08-107,,,True
Tampines,3-ROOM,630B ,TAMPINES NTH DR 2 ,1Q/2022 ,28 Feb 2023  ,-  ,0,1,1,#10-107,,,True
Tampines,3-ROOM,630B ,TAMPINES NTH DR 2 ,1Q/2022 ,28 Feb 2023  ,-  ,0,1,1,#03-109,,,True
Tampines,3-ROOM,630B ,TAMPINES NTH DR 2 ,1Q/2022 ,28 Feb 2023  ,-  ,0,1,1,#04-109,"$238,400",68,False
Tampines,4-Room,629A ,TAMPINES NTH DR 2 ,1Q/2022 ,31 Jan 2023  ,-  ,2,31,11,#04-31,"$362,100",93,False
Tampines,4-Room,629A ,TAMPINES NTH DR 2 ,1Q/2022 ,31 Jan 2023  ,-  ,2,31,11,#05-31,"$366,600",93,False
Tampines,4-Room,629A ,TAMPINES NTH DR 2 ,1Q/2022 ,31 Jan 2023  ,-  ,2,31,11,#06-31,"$370,100",93,False
Tampines,4-Room,629A ,TAMPINES NTH DR 2 ,1Q/2022 ,31 Jan 2023  ,-  ,2,31,11,#07-31,"$373,600",93,False
Tampines,4-Room,629A ,TAMPINES NTH DR 2 ,1Q/2022 ,31 Jan 2023  ,-  ,2,31,11,#08-31,"$377,100",93,False
Tampines,4-Room,629A ,TAMPINES NTH DR 2 ,1Q/2022 ,31 Jan 2023  ,-  ,2,31,11,#09-31,"$378,500",93,False
Tampines,4-Room,629B ,TAMPINES NTH DR 2 ,1Q/2022 ,31 Jan 2023  ,-  ,6,32,10,#03-57,"$351,600",93,False
Tampines,4-Room,629B ,TAMPINES NTH DR 2 ,1Q/2022 ,31 Jan 2023  ,-  ,6,32,10,#04-57,"$362,100",93,False
Tampines,4-Room,629B ,TAMPINES NTH DR 2 ,1Q/2022 ,31 Jan 2023  ,-  ,6,32,10,#05-57,"$366,600",93,False
Tampines,4-Room,629B ,TAMPINES NTH DR 2 ,1Q/2022 ,31 Jan 2023  ,-  ,6,32,10,#06-57,"$370,100",93,False
Tampines,4-Room,629B ,TAMPINES NTH DR 2 ,1Q/2022 ,31 Jan 2023  ,-  ,6,32,10,#07-57,"$373,600",93,False
Tampines,4-Room,629B ,TAMPINES NTH DR 2 ,1Q/2022 ,31 Jan 2023  ,-  ,6,32,10,#08-57,"$377,100",93,False
Tampines,4-Room,630A ,TAMPINES NTH DR 2 ,1Q/2022 ,28 Feb 2023  ,-  ,0,32,14,#03-73,"$351,600",93,False
Tampines,4-Room,630A ,TAMPINES NTH DR 2 ,1Q/2022 ,28 Feb 2023  ,-  ,0,32,14,#04-73,"$362,100",93,False
Tampines,4-Room,630A ,TAMPINES NTH DR 2 ,1Q/2022 ,28 Feb 2023  ,-  ,0,32,14,#05-73,"$366,600",93,False
Tampines,4-Room,630A ,TAMPINES NTH DR 2 ,1Q/2022 ,28 Feb 2023  ,-  ,0,32,14,#06-73,"$370,100",93,False
Tampines,4-Room,630A ,TAMPINES NTH DR 2 ,1Q/2022 ,28 Feb 2023  ,-  ,0,32,14,#07-73,"$373,600",93,False
Tampines,4-Room,630A ,TAMPINES NTH DR 2 ,1Q/2022 ,28 Feb 2023  ,-  ,0,32,14,#08-73,"$377,100",93,False
Tampines,4-Room,630B ,TAMPINES NTH DR 2 ,1Q/2022 ,28 Feb 2023  ,-  ,9,21,5,#03-99,"$351,600",93,False
Tampines,4-Room,630B ,TAMPINES NTH DR 2 ,1Q/2022 ,28 Feb 2023  ,-  ,9,21,5,#04-99,"$362,100",93,False
Tampines,4-Room,630B ,TAMPINES NTH DR 2 ,1Q/2022 ,28 Feb 2023  ,-  ,9,21,5,#05-99,"$366,600",93,False
Tampines,4-Room,630B ,TAMPINES NTH DR 2 ,1Q/2022 ,28 Feb 2023  ,-  ,9,21,5,#06-99,"$370,100",93,False
Tampines,4-Room,630B ,TAMPINES NTH DR 2 ,1Q/2022 ,28 Feb 2023  ,-  ,9,21,5,#08-99,,,True
Tampines,4-Room,630B ,TAMPINES NTH DR 2 ,1Q/2022 ,28 Feb 2023  ,-  ,9,21,5,#10-99,"$379,900",93,False
Tampines,4-Room,631A ,TAMPINES NTH DR 2 ,1Q/2022 ,31 Mar 2023  ,-  ,0,11,7,#02-121,"$353,100",93,False
Tampines,4-Room,631A ,TAMPINES NTH DR 2 ,1Q/2022 ,31 Mar 2023  ,-  ,0,11,7,#03-121,"$357,600",93,False
Tampines,4-Room,631A ,TAMPINES NTH DR 2 ,1Q/2022 ,31 Mar 2023  ,-  ,0,11,7,#04-121,,,True
Tampines,4-Room,631A ,TAMPINES NTH DR 2 ,1Q/2022 ,31 Mar 2023  ,-  ,0,11,7,#05-121,,,True
Tampines,4-Room,631A ,TAMPINES NTH DR 2 ,1Q/2022 ,31 Mar 2023  ,-  ,0,11,7,#11-121,,,True
Tampines,4-Room,631A ,TAMPINES NTH DR 2 ,1Q/2022 ,31 Mar 2023  ,-  ,0,11,7,#02-123,"$353,100",93,False
Tampines,4-Room,631B ,TAMPINES NTH DR 2 ,1Q/2022 ,31 Mar 2023  ,-  ,2,8,8,#07-133,,,True
Tampines,4-Room,631B ,TAMPINES NTH DR 2 ,1Q/2022 ,31 Mar 2023  ,-  ,2,8,8,#12-133,,,True
Tampines,4-Room,631B ,TAMPINES NTH DR 2 ,1Q/2022 ,31 Mar 2023  ,-  ,2,8,8,#02-135,,,True
Tampines,4-Room,631B ,TAMPINES NTH DR 2 ,1Q/2022 ,31 Mar 2023  ,-  ,2,8,8,#02-137,"$359,200",93,False
Tampines,4-Room,631B ,TAMPINES NTH DR 2 ,1Q/2022 ,31 Mar 2023  ,-  ,2,8,8,#03-137,"$363,700",93,False
Tampines,4-Room,631B ,TAMPINES NTH DR 2 ,1Q/2022 ,31 Mar 2023  ,-  ,2,8,8,#07-137,,,True
Tampines,4-Room,632A ,TAMPINES NTH DR 2 ,2Q/2022 ,30 Apr 2023  ,-  ,5,7,7,#03-161,"$348,200",92,False
Tampines,4-Room,632A ,TAMPINES NTH DR 2 ,2Q/2022 ,30 Apr 2023  ,-  ,5,7,7,#04-161,"$358,600",92,False
Tampines,4-Room,632A ,TAMPINES NTH DR 2 ,2Q/2022 ,30 Apr 2023  ,-  ,5,7,7,#05-161,,,True
Tampines,4-Room,632A ,TAMPINES NTH DR 2 ,2Q/2022 ,30 Apr 2023  ,-  ,5,7,7,#06-161,,,True
Tampines,4-Room,632A ,TAMPINES NTH DR 2 ,2Q/2022 ,30 Apr 2023  ,-  ,5,7,7,#08-161,,,True
Tampines,4-Room,632A ,TAMPINES NTH DR 2 ,2Q/2022 ,30 Apr 2023  ,-  ,5,7,7,#04-163,,,True
Tampines,4-Room,632B ,TAMPINES NTH DR 2 ,2Q/2022 ,30 Apr 2023  ,-  ,5,5,3,#02-175,"$361,600",92,False
Tampines,4-Room,632B ,TAMPINES NTH DR 2 ,2Q/2022 ,30 Apr 2023  ,-  ,5,5,3,#04-179,,,True
Tampines,4-Room,632B ,TAMPINES NTH DR 2 ,2Q/2022 ,30 Apr 2023  ,-  ,5,5,3,#03-181,"$348,200",92,False
Tampines,4-Room,632B ,TAMPINES NTH DR 2 ,2Q/2022 ,30 Apr 2023  ,-  ,5,5,3,#04-181,"$358,600",92,False
Tampines,4-Room,632B ,TAMPINES NTH DR 2 ,2Q/2022 ,30 Apr 2023  ,-  ,5,5,3,#04-183,"$352,700",92,False
Tampines,4-Room,632B ,TAMPINES NTH DR 2 ,2Q/2022 ,30 Apr 2023  ,-  ,5,5,3,#05-183,"$363,100",92,False
Tampines,4-Room,633A ,TAMPINES NTH DR 2 ,2Q/2022 ,30 Apr 2023  ,-  ,7,7,7,#03-199,,,True
Tampines,4-Room,633A ,TAMPINES NTH DR 2 ,2Q/2022 ,30 Apr 2023  ,-  ,7,7,7,#04-199,"$358,600",92,False
Tampines,4-Room,633A ,TAMPINES NTH DR 2 ,2Q/2022 ,30 Apr 2023  ,-  ,7,7,7,#05-199,"$363,100",92,False
Tampines,4-Room,633A ,TAMPINES NTH DR 2 ,2Q/2022 ,30 Apr 2023  ,-  ,7,7,7,#03-201,,,True
Tampines,4-Room,633A ,TAMPINES NTH DR 2 ,2Q/2022 ,30 Apr 2023  ,-  ,7,7,7,#03-203,"$348,200",92,False
Tampines,4-Room,633A ,TAMPINES NTH DR 2 ,2Q/2022 ,30 Apr 2023  ,-  ,7,7,7,#04-203,"$358,600",92,False
Tampines,4-Room,633B ,TAMPINES NTH DR 2 ,1Q/2022 ,31 Jan 2023  ,-  ,0,1,1,#03-215,,,True
Tampines,4-Room,633B ,TAMPINES NTH DR 2 ,1Q/2022 ,31 Jan 2023  ,-  ,0,1,1,#05-215,,,True
Tampines,4-Room,633B ,TAMPINES NTH DR 2 ,1Q/2022 ,31 Jan 2023  ,-  ,0,1,1,#03-217,,,True
