HDB Exercise,Town,Room Type,Block,Street,Probable Completion Date,Delivery Possession Date,Lease Commencement Date,Ethic Quota-Malay,Ethic Quota-Chinese,Ethic Quota-Indian Others,Unit,Price,Sqm,IsBooked
SBF,clementi,2-Room Flexi (Short Lease/99-Year Lease),418,CLEMENTI AVE 1 ,- ,NA (Keys Available) ,1-Sep-13,1,1,1,#12-243*,"$76,000 - 15 Years<br>$91,200 - 20 Years<br>$103,700 - 25 Years<br>$114,000 - 30 Years<br>$122,700 - 35 Years<br>$130,200 - 40 Years<br>$136,400 - 45 Years<br>$225,000 - Remaining",49,FALSE
SBF,clementi,2-Room Flexi (Short Lease/99-Year Lease),464B ,CLEMENTI AVE 1 ,2Q/2022 ,30-Jun-23,-  ,1,1,1,#14-52,"$83,600 - 15 Years<br>$100,200 - 20 Years<br>$113,900 - 25 Years<br>$125,100 - 30 Years<br>$134,600 - 35 Years<br>$142,700 - 40 Years<br>$149,600 - 45 Years<br>$249,600 - 99 Years",47,FALSE
SBF,clementi,2-Room Flexi (Short Lease/99-Year Lease),801A ,WEST COAST CRES ,3Q/2022 ,30-Sep-23,-  ,3,3,3,#09-21,"$49,300 - 15 Years<br>$59,000 - 20 Years<br>$67,000 - 25 Years<br>$73,600 - 30 Years<br>$79,200 - 35 Years<br>$83,900 - 40 Years<br>$88,000 - 45 Years<br>$146,600 - 99 Years",38,FALSE
SBF,clementi,2-Room Flexi (Short Lease/99-Year Lease),801A ,WEST COAST CRES ,3Q/2022 ,30-Sep-23,-  ,3,3,3,#15-21,"$51,700 - 15 Years<br>$61,900 - 20 Years<br>$70,300 - 25 Years<br>$77,200 - 30 Years<br>$83,100 - 35 Years<br>$88,100 - 40 Years<br>$92,300 - 45 Years<br>$153,800 - 99 Years",38,FALSE
SBF,clementi,2-Room Flexi (Short Lease/99-Year Lease),801A ,WEST COAST CRES ,3Q/2022 ,30-Sep-23,-  ,3,3,3,#16-21,"$51,900 - 15 Years<br>$62,200 - 20 Years<br>$70,700 - 25 Years<br>$77,600 - 30 Years<br>$83,500 - 35 Years<br>$88,500 - 40 Years<br>$92,700 - 45 Years<br>$154,600 - 99 Years",38,FALSE
SBF,clementi,3-ROOM,210B ,CLEMENTI AVE 6 ,3Q/2022 ,31-Mar-23,-  ,4,4,4,#21-245,"$355,600 ",68,FALSE
SBF,clementi,3-ROOM,210B ,CLEMENTI AVE 6 ,3Q/2022 ,31-Mar-23,-  ,4,4,4,#27-245,"$360,600 ",68,FALSE
SBF,clementi,3-ROOM,210B ,CLEMENTI AVE 6 ,3Q/2022 ,31-Mar-23,-  ,4,4,4,#09-247,"$343,600 ",68,FALSE
SBF,clementi,3-ROOM,210B ,CLEMENTI AVE 6 ,3Q/2022 ,31-Mar-23,-  ,4,4,4,#13-247,"$347,600 ",68,FALSE
SBF,clementi,3-ROOM,211A ,CLEMENTI AVE 6 ,4Q/2022 ,30-Apr-23,-  ,3,1,3,#14-285,"$342,900 ",68,FALSE
SBF,clementi,3-ROOM,211A ,CLEMENTI AVE 6 ,4Q/2022 ,30-Apr-23,-  ,3,1,3,#04-297,"$335,500 ",68,FALSE
SBF,clementi,3-ROOM,211A ,CLEMENTI AVE 6 ,4Q/2022 ,30-Apr-23,-  ,3,1,3,#16-297,"$358,700 ",68,FALSE
SBF,clementi,3-ROOM,304,CLEMENTI AVE 4 ,- ,NA (Keys Available) ,1-Mar-79,1,1,1,#03-485*,"$204,000 ",67,FALSE
SBF,clementi,3-ROOM,309,CLEMENTI AVE 4 ,- ,NA (Keys Available) ,1-Jan-80,1,1,1,#03-321*,"$269,000 ",82,FALSE
SBF,clementi,3-ROOM,325,CLEMENTI AVE 5 ,- ,NA (Keys Available) ,1-Aug-78,1,1,1,#04-153*,"$259,000 ",67,FALSE
SBF,clementi,3-ROOM,364,CLEMENTI AVE 2 ,- ,NA (Keys Available) ,1-Jan-78,1,1,1,#04-459*,"$249,000 ",67,FALSE
SBF,clementi,3-ROOM,375,CLEMENTI AVE 4 ,- ,NA (Keys Available) ,1-Oct-80,1,1,1,#08-142*,"$294,000 ",81,FALSE
SBF,clementi,3-ROOM,421,CLEMENTI AVE 1 ,- ,NA (Keys Available) ,1-Sep-13,1,1,1,#06-379*,"$389,000 ",74,FALSE
SBF,clementi,3-ROOM,464B ,CLEMENTI AVE 1 ,2Q/2022 ,30-Jun-23,-  ,6,6,6,#03-58,"$375,100 ",71,FALSE
SBF,clementi,3-ROOM,464B ,CLEMENTI AVE 1 ,2Q/2022 ,30-Jun-23,-  ,6,6,6,#05-58,"$384,700 ",71,FALSE
SBF,clementi,3-ROOM,464B ,CLEMENTI AVE 1 ,2Q/2022 ,30-Jun-23,-  ,6,6,6,#09-58,"$389,600 ",71,FALSE
SBF,clementi,3-ROOM,464B ,CLEMENTI AVE 1 ,2Q/2022 ,30-Jun-23,-  ,6,6,6,#28-60,"$409,200 ",71,FALSE
SBF,clementi,3-ROOM,464B ,CLEMENTI AVE 1 ,2Q/2022 ,30-Jun-23,-  ,6,6,6,#06-62,"$362,800 ",71,FALSE
SBF,clementi,3-ROOM,464B ,CLEMENTI AVE 1 ,2Q/2022 ,30-Jun-23,-  ,6,6,6,#16-64,"$393,600 ",71,FALSE
SBF,clementi,3-ROOM,466A ,CLEMENTI AVE 1 ,2Q/2022 ,31-May-23,-  ,3,3,3,#06-90,"$366,100 ",68,FALSE
SBF,clementi,3-ROOM,466A ,CLEMENTI AVE 1 ,2Q/2022 ,31-May-23,-  ,3,3,3,#13-90,"$376,100 ",68,FALSE
SBF,clementi,3-ROOM,466A ,CLEMENTI AVE 1 ,2Q/2022 ,31-May-23,-  ,3,3,3,#07-92,"$371,500 ",68,FALSE
SBF,clementi,3-ROOM,610,CLEMENTI WEST ST 1 ,- ,NA (Keys Available) ,1-Aug-83,1,1,1,#02-228*,"$159,000 ",74,FALSE
SBF,clementi,3-ROOM,701,WEST COAST RD ,- ,NA (Keys Available) ,1-Aug-80,1,1,1,#02-327*,"$159,000 ",67,FALSE
SBF,clementi,3-ROOM,703,WEST COAST RD ,- ,NA (Keys Available) ,1-Sep-80,1,1,1,#02-395*,"$159,000 ",67,FALSE
SBF,clementi,3-ROOM,704,WEST COAST RD ,- ,NA (Keys Available) ,1-Sep-80,1,1,1,#13-443*,"$179,000 ",67,FALSE
SBF,clementi,3-ROOM,801A ,WEST COAST CRES ,3Q/2022 ,30-Sep-23,-  ,1,1,1,#21-23,"$317,200 ",71,FALSE
SBF,clementi,3-ROOM,801B ,WEST COAST CRES ,3Q/2022 ,30-Sep-23,-  ,2,2,2,#23-41,"$319,200 ",71,FALSE
SBF,clementi,3-ROOM,801B ,WEST COAST CRES ,3Q/2022 ,30-Sep-23,-  ,2,2,2,#11-45,"$297,000 ",71,FALSE
SBF,clementi,3-ROOM,801C ,WEST COAST CRES ,3Q/2022 ,30-Sep-23,-  ,1,1,0,#08-63,"$296,200 ",71,FALSE
SBF,clementi,4-Room,209A ,CLEMENTI AVE 6 ,3Q/2022 ,31-Mar-23,-  ,2,2,2,#28-223,"$546,600 ",93,FALSE
SBF,clementi,4-Room,209A ,CLEMENTI AVE 6 ,3Q/2022 ,31-Mar-23,-  ,2,2,2,#31-223,"$545,000 ",93,FALSE
SBF,clementi,4-Room,209B ,CLEMENTI AVE 6 ,3Q/2022 ,31-Mar-23,-  ,1,1,1,#21-233,"$527,800 ",93,FALSE
SBF,clementi,4-Room,210A ,CLEMENTI AVE 6 ,3Q/2022 ,31-Mar-23,-  ,2,2,2,#08-205,"$496,000 ",93,FALSE
SBF,clementi,4-Room,210A ,CLEMENTI AVE 6 ,3Q/2022 ,31-Mar-23,-  ,2,2,2,#07-215,"$506,100 ",93,FALSE
SBF,clementi,4-Room,210B ,CLEMENTI AVE 6 ,3Q/2022 ,31-Mar-23,-  ,2,1,2,#05-239,"$486,000 ",93,FALSE
SBF,clementi,4-Room,210B ,CLEMENTI AVE 6 ,3Q/2022 ,31-Mar-23,-  ,2,1,2,#08-249,"$504,400 ",93,FALSE
SBF,clementi,4-Room,210C ,CLEMENTI AVE 6 ,4Q/2022 ,30-Apr-23,-  ,1,1,1,#06-259,"$497,400 ",93,FALSE
SBF,clementi,4-Room,211A ,CLEMENTI AVE 6 ,4Q/2022 ,30-Apr-23,-  ,1,1,1,#10-291,"$512,400 ",93,FALSE
SBF,clementi,4-Room,440A ,CLEMENTI AVE 3 ,- ,NA (Keys Available) ,1-Aug-18,1,1,1,#21-14*,"$573,800 ",87,FALSE
SBF,clementi,4-Room,440C ,CLEMENTI AVE 3 ,- ,NA (Keys Available) ,1-Aug-18,1,0,1,#26-30,"$603,100 ",94,FALSE
SBF,clementi,4-Room,445A ,CLEMENTI AVE 3 ,- ,NA (Keys Available) ,1-Jun-21,1,1,1,#29-355,"$685,500 ",93,FALSE
SBF,clementi,4-Room,445B ,CLEMENTI AVE 3 ,- ,NA (Keys Available) ,1-Jun-21,2,2,2,#35-361,"$707,300 ",93,FALSE
SBF,clementi,4-Room,445B ,CLEMENTI AVE 3 ,- ,NA (Keys Available) ,1-Jun-21,2,2,2,#10-365,"$649,400 ",93,FALSE
SBF,clementi,4-Room,461,CLEMENTI AVE 3 ,- ,NA (Keys Available) ,1-Nov-06,1,1,1,#04-608*,"$546,000 ",90,FALSE
SBF,clementi,4-Room,464A ,CLEMENTI AVE 1 ,2Q/2022 ,30-Jun-23,-  ,3,3,3,#11-32,"$478,600 ",86,FALSE
SBF,clementi,4-Room,464A ,CLEMENTI AVE 1 ,2Q/2022 ,30-Jun-23,-  ,3,3,3,#13-32,"$481,400 ",86,FALSE
SBF,clementi,4-Room,464A ,CLEMENTI AVE 1 ,2Q/2022 ,30-Jun-23,-  ,3,3,3,#30-32,"$521,100 ",86,FALSE
SBF,clementi,4-Room,464B ,CLEMENTI AVE 1 ,2Q/2022 ,30-Jun-23,-  ,1,1,1,#25-50,"$570,900 ",95,FALSE
SBF,clementi,4-Room,465A ,CLEMENTI AVE 1 ,2Q/2022 ,31-May-23,-  ,5,4,5,#06-68,"$526,500 ",93,FALSE
SBF,clementi,4-Room,465A ,CLEMENTI AVE 1 ,2Q/2022 ,31-May-23,-  ,5,4,5,#08-68,"$533,500 ",93,FALSE
SBF,clementi,4-Room,465A ,CLEMENTI AVE 1 ,2Q/2022 ,31-May-23,-  ,5,4,5,#27-68,"$554,900 ",93,FALSE
SBF,clementi,4-Room,465A ,CLEMENTI AVE 1 ,2Q/2022 ,31-May-23,-  ,5,4,5,#04-70,"$501,500 ",93,FALSE
SBF,clementi,4-Room,465A ,CLEMENTI AVE 1 ,2Q/2022 ,31-May-23,-  ,5,4,5,#18-78,"$552,200 ",93,FALSE
SBF,clementi,4-Room,715,CLEMENTI WEST ST 2 ,- ,NA (Keys Available) ,1-Sep-81,1,1,1,#02-99*,"$256,000 ",92,FALSE
SBF,clementi,4-Room,801A ,WEST COAST CRES ,3Q/2022 ,30-Sep-23,-  ,1,1,1,#18-27,"$454,500 ",95,FALSE
SBF,clementi,4-Room,801C ,WEST COAST CRES ,3Q/2022 ,30-Sep-23,-  ,4,4,2,#04-49,"$398,400 ",95,FALSE
SBF,clementi,4-Room,801C ,WEST COAST CRES ,3Q/2022 ,30-Sep-23,-  ,4,4,2,#06-51,"$413,300 ",95,FALSE
SBF,clementi,4-Room,801C ,WEST COAST CRES ,3Q/2022 ,30-Sep-23,-  ,4,4,2,#03-67,"$399,100 ",95,FALSE
SBF,clementi,4-Room,801C ,WEST COAST CRES ,3Q/2022 ,30-Sep-23,-  ,4,4,2,#07-67,"$422,100 ",95,FALSE
SBF,clementi,5-Room,418,CLEMENTI AVE 1 ,- ,NA (Keys Available) ,1-Sep-13,1,1,1,#12-243*,"$76,000 - 15 Years<br>$91,200 - 20 Years<br>$103,700 - 25 Years<br>$114,000 - 30 Years<br>$122,700 - 35 Years<br>$130,200 - 40 Years<br>$136,400 - 45 Years<br>$225,000 - Remaining",49,FALSE
SBF,clementi,5-Room,464B ,CLEMENTI AVE 1 ,2Q/2022 ,30-Jun-23,-  ,1,1,1,#14-52,"$83,600 - 15 Years<br>$100,200 - 20 Years<br>$113,900 - 25 Years<br>$125,100 - 30 Years<br>$134,600 - 35 Years<br>$142,700 - 40 Years<br>$149,600 - 45 Years<br>$249,600 - 99 Years",47,FALSE
SBF,clementi,5-Room,801A ,WEST COAST CRES ,3Q/2022 ,30-Sep-23,-  ,3,3,3,#09-21,"$49,300 - 15 Years<br>$59,000 - 20 Years<br>$67,000 - 25 Years<br>$73,600 - 30 Years<br>$79,200 - 35 Years<br>$83,900 - 40 Years<br>$88,000 - 45 Years<br>$146,600 - 99 Years",38,FALSE
SBF,clementi,5-Room,801A ,WEST COAST CRES ,3Q/2022 ,30-Sep-23,-  ,3,3,3,#15-21,"$51,700 - 15 Years<br>$61,900 - 20 Years<br>$70,300 - 25 Years<br>$77,200 - 30 Years<br>$83,100 - 35 Years<br>$88,100 - 40 Years<br>$92,300 - 45 Years<br>$153,800 - 99 Years",38,FALSE
SBF,clementi,5-Room,801A ,WEST COAST CRES ,3Q/2022 ,30-Sep-23,-  ,3,3,3,#16-21,"$51,900 - 15 Years<br>$62,200 - 20 Years<br>$70,700 - 25 Years<br>$77,600 - 30 Years<br>$83,500 - 35 Years<br>$88,500 - 40 Years<br>$92,700 - 45 Years<br>$154,600 - 99 Years",38,FALSE
SBF,clementi,3Gen,209B ,CLEMENTI AVE 6 ,3Q/2022 ,31-Mar-23,-  ,2,2,2,#18-227,"$678,300 ",123,FALSE
SBF,clementi,3Gen,209B ,CLEMENTI AVE 6 ,3Q/2022 ,31-Mar-23,-  ,2,2,2,#40-229,"$729,400 ",120,FALSE
SBF,clementi,5-Room,210B ,CLEMENTI AVE 6 ,3Q/2022 ,31-Mar-23,-  ,1,1,1,#17-235,"$669,600 ",116,FALSE
SBF,clementi,5-Room,210C ,CLEMENTI AVE 6 ,4Q/2022 ,30-Apr-23,-  ,4,2,4,#17-257,"$649,600 ",113,FALSE
SBF,clementi,5-Room,210C ,CLEMENTI AVE 6 ,4Q/2022 ,30-Apr-23,-  ,4,2,4,#03-267,"$616,000 ",113,FALSE
SBF,clementi,5-Room,210C ,CLEMENTI AVE 6 ,4Q/2022 ,30-Apr-23,-  ,4,2,4,#08-271,"$635,200 ",113,FALSE
SBF,clementi,3Gen,210C ,CLEMENTI AVE 6 ,4Q/2022 ,30-Apr-23,-  ,4,2,4,#11-263,"$643,000 ",120,FALSE
SBF,clementi,5-Room,211A ,CLEMENTI AVE 6 ,4Q/2022 ,30-Apr-23,-  ,1,1,1,#05-275,"$641,700 ",116,FALSE
SBF,clementi,5-Room,355,CLEMENTI AVE 2 ,- ,NA (Keys Available) ,1-Mar-78,1,1,1,#22-265*,"$533,000 ",117,FALSE
SBF,clementi,5-Room,445A ,CLEMENTI AVE 3 ,- ,NA (Keys Available) ,1-Jun-21,2,2,2,#12-357,"$768,500 ",113,FALSE
SBF,clementi,5-Room,445A ,CLEMENTI AVE 3 ,- ,NA (Keys Available) ,1-Jun-21,2,2,2,#22-357,"$802,700 ",113,FALSE
SBF,clementi,5-Room,445B ,CLEMENTI AVE 3 ,- ,NA (Keys Available) ,1-Jun-21,3,3,3,#33-367,"$812,800 ",113,FALSE
SBF,clementi,5-Room,445B ,CLEMENTI AVE 3 ,- ,NA (Keys Available) ,1-Jun-21,3,3,3,#06-369,"$748,700 ",113,FALSE
SBF,clementi,5-Room,445B ,CLEMENTI AVE 3 ,- ,NA (Keys Available) ,1-Jun-21,3,3,3,#16-369,"$774,300 ",113,FALSE
SBF,clementi,3Gen,464A ,CLEMENTI AVE 1 ,2Q/2022 ,30-Jun-23,-  ,31,28,26,#02-38,"$617,100 ",120,FALSE
SBF,clementi,3Gen,464A ,CLEMENTI AVE 1 ,2Q/2022 ,30-Jun-23,-  ,31,28,26,#03-38,"$623,100 ",120,FALSE
SBF,clementi,3Gen,464A ,CLEMENTI AVE 1 ,2Q/2022 ,30-Jun-23,-  ,31,28,26,#04-38,"$629,100 ",120,FALSE
SBF,clementi,3Gen,464A ,CLEMENTI AVE 1 ,2Q/2022 ,30-Jun-23,-  ,31,28,26,#05-38,"$657,900 ",120,FALSE
SBF,clementi,3Gen,464A ,CLEMENTI AVE 1 ,2Q/2022 ,30-Jun-23,-  ,31,28,26,#06-38,"$662,400 ",120,FALSE
SBF,clementi,3Gen,464A ,CLEMENTI AVE 1 ,2Q/2022 ,30-Jun-23,-  ,31,28,26,#07-38,"$666,900 ",120,FALSE
SBF,clementi,3Gen,464A ,CLEMENTI AVE 1 ,2Q/2022 ,30-Jun-23,-  ,31,28,26,#08-38,"$671,400 ",120,FALSE
SBF,clementi,3Gen,464A ,CLEMENTI AVE 1 ,2Q/2022 ,30-Jun-23,-  ,31,28,26,#09-38,"$673,000 ",120,FALSE
SBF,clementi,3Gen,464A ,CLEMENTI AVE 1 ,2Q/2022 ,30-Jun-23,-  ,31,28,26,#10-38,"$674,600 ",120,FALSE
SBF,clementi,3Gen,464A ,CLEMENTI AVE 1 ,2Q/2022 ,30-Jun-23,-  ,31,28,26,#11-38,"$676,200 ",120,FALSE
SBF,clementi,3Gen,464A ,CLEMENTI AVE 1 ,2Q/2022 ,30-Jun-23,-  ,31,28,26,#12-38,"$677,800 ",120,FALSE
SBF,clementi,3Gen,464A ,CLEMENTI AVE 1 ,2Q/2022 ,30-Jun-23,-  ,31,28,26,#13-38,"$679,400 ",120,FALSE
SBF,clementi,3Gen,464A ,CLEMENTI AVE 1 ,2Q/2022 ,30-Jun-23,-  ,31,28,26,#15-38,"$682,600 ",120,FALSE
SBF,clementi,3Gen,464A ,CLEMENTI AVE 1 ,2Q/2022 ,30-Jun-23,-  ,31,28,26,#17-38,"$685,800 ",120,FALSE
SBF,clementi,3Gen,464A ,CLEMENTI AVE 1 ,2Q/2022 ,30-Jun-23,-  ,31,28,26,#19-38,"$689,000 ",120,FALSE
SBF,clementi,3Gen,464A ,CLEMENTI AVE 1 ,2Q/2022 ,30-Jun-23,-  ,31,28,26,#21-38,"$692,200 ",120,FALSE
SBF,clementi,3Gen,464A ,CLEMENTI AVE 1 ,2Q/2022 ,30-Jun-23,-  ,31,28,26,#23-38,"$695,400 ",120,FALSE
SBF,clementi,3Gen,464A ,CLEMENTI AVE 1 ,2Q/2022 ,30-Jun-23,-  ,31,28,26,#24-38,"$697,000 ",120,FALSE
SBF,clementi,3Gen,464A ,CLEMENTI AVE 1 ,2Q/2022 ,30-Jun-23,-  ,31,28,26,#25-38,"$698,600 ",120,FALSE
SBF,clementi,3Gen,464A ,CLEMENTI AVE 1 ,2Q/2022 ,30-Jun-23,-  ,31,28,26,#26-38,"$700,200 ",120,FALSE
SBF,clementi,3Gen,464A ,CLEMENTI AVE 1 ,2Q/2022 ,30-Jun-23,-  ,31,28,26,#27-38,"$701,800 ",120,FALSE
SBF,clementi,3Gen,464A ,CLEMENTI AVE 1 ,2Q/2022 ,30-Jun-23,-  ,31,28,26,#29-38,"$705,000 ",120,FALSE
SBF,clementi,3Gen,464A ,CLEMENTI AVE 1 ,2Q/2022 ,30-Jun-23,-  ,31,28,26,#30-38,"$706,600 ",120,FALSE
SBF,clementi,3Gen,464A ,CLEMENTI AVE 1 ,2Q/2022 ,30-Jun-23,-  ,31,28,26,#31-38,"$708,200 ",120,FALSE
SBF,clementi,3Gen,464A ,CLEMENTI AVE 1 ,2Q/2022 ,30-Jun-23,-  ,31,28,26,#32-38,"$709,800 ",120,FALSE
SBF,clementi,3Gen,464A ,CLEMENTI AVE 1 ,2Q/2022 ,30-Jun-23,-  ,31,28,26,#34-38,"$713,000 ",120,FALSE
SBF,clementi,3Gen,464A ,CLEMENTI AVE 1 ,2Q/2022 ,30-Jun-23,-  ,31,28,26,#35-38,"$714,600 ",120,FALSE
SBF,clementi,3Gen,464A ,CLEMENTI AVE 1 ,2Q/2022 ,30-Jun-23,-  ,31,28,26,#36-38,"$716,200 ",120,FALSE
SBF,clementi,3Gen,464A ,CLEMENTI AVE 1 ,2Q/2022 ,30-Jun-23,-  ,31,28,26,#37-38,"$717,800 ",120,FALSE
SBF,clementi,3Gen,464A ,CLEMENTI AVE 1 ,2Q/2022 ,30-Jun-23,-  ,31,28,26,#39-38,"$721,000 ",120,FALSE
SBF,clementi,3Gen,464A ,CLEMENTI AVE 1 ,2Q/2022 ,30-Jun-23,-  ,31,28,26,#40-38,"$721,000 ",120,FALSE
SBF,clementi,5-Room,464B ,CLEMENTI AVE 1 ,2Q/2022 ,30-Jun-23,-  ,2,2,2,#03-54,"$650,700 ",113,FALSE
SBF,clementi,5-Room,464B ,CLEMENTI AVE 1 ,2Q/2022 ,30-Jun-23,-  ,2,2,2,#04-54,"$656,700 ",113,FALSE
SBF,clementi,5-Room,465A ,CLEMENTI AVE 1 ,2Q/2022 ,31-May-23,-  ,2,2,2,#10-72,"$667,400 ",113,FALSE
SBF,clementi,5-Room,465A ,CLEMENTI AVE 1 ,2Q/2022 ,31-May-23,-  ,2,2,2,#33-74,"$704,900 ",113,FALSE
SBF,clementi,5-Room,801C ,WEST COAST CRES ,3Q/2022 ,30-Sep-23,-  ,14,14,7,#11-59,"$572,900 ",113,FALSE
SBF,clementi,3Gen,801C ,WEST COAST CRES ,3Q/2022 ,30-Sep-23,-  ,14,14,7,#02-57,"$536,300 ",120,FALSE
SBF,clementi,3Gen,801C ,WEST COAST CRES ,3Q/2022 ,30-Sep-23,-  ,14,14,7,#03-57,"$542,300 ",120,FALSE
SBF,clementi,3Gen,801C ,WEST COAST CRES ,3Q/2022 ,30-Sep-23,-  ,14,14,7,#05-57,"$554,300 ",120,FALSE
SBF,clementi,3Gen,801C ,WEST COAST CRES ,3Q/2022 ,30-Sep-23,-  ,14,14,7,#06-57,"$558,800 ",120,FALSE
SBF,clementi,3Gen,801C ,WEST COAST CRES ,3Q/2022 ,30-Sep-23,-  ,14,14,7,#07-57,"$568,100 ",120,FALSE
SBF,clementi,3Gen,801C ,WEST COAST CRES ,3Q/2022 ,30-Sep-23,-  ,14,14,7,#08-57,"$577,300 ",120,FALSE
SBF,clementi,3Gen,801C ,WEST COAST CRES ,3Q/2022 ,30-Sep-23,-  ,14,14,7,#09-57,"$578,900 ",120,FALSE
SBF,clementi,3Gen,801C ,WEST COAST CRES ,3Q/2022 ,30-Sep-23,-  ,14,14,7,#10-57,"$580,500 ",120,FALSE
SBF,clementi,3Gen,801C ,WEST COAST CRES ,3Q/2022 ,30-Sep-23,-  ,14,14,7,#11-57,"$586,900 ",120,FALSE
SBF,clementi,3Gen,801C ,WEST COAST CRES ,3Q/2022 ,30-Sep-23,-  ,14,14,7,#13-57,"$594,900 ",120,FALSE
SBF,clementi,3Gen,801C ,WEST COAST CRES ,3Q/2022 ,30-Sep-23,-  ,14,14,7,#14-57,"$596,500 ",120,FALSE
SBF,clementi,3Gen,801C ,WEST COAST CRES ,3Q/2022 ,30-Sep-23,-  ,14,14,7,#16-57,"$599,700 ",120,FALSE
SBF,clementi,3Gen,801C ,WEST COAST CRES ,3Q/2022 ,30-Sep-23,-  ,14,14,7,#24-57,"$622,000 ",120,FALSE
